a52dec 0.7.4-11
aalib 1.4rc5-14
abseil-cpp 20211102.0-2
absl-py 1.0.0-1
accounts-qml-module 0.7-4
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0-1
alg-firefox-settings 21.12-1
alg-xfce-settings 21.11-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
amd-ucode 20220309.cd01f85-1
android-sdk 26.1.1-2
android-studio 2021.1.1.23-1
android-tools 31.0.3-3
android-udev 20220102-1
aom 3.3.0-1
arc-gtk-theme 20220405-1
archlinux-keyring 20220224-1
argon2 20190702-4
assimp 5.2.2-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.0-2
atk 2.38.0-1
atkmm 2.28.2-2
attr 2.5.1-2
audacity 1:2.4.1-7
audit 3.0.7-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
b43-fwcutter 019-3
babl 0.1.90-2
base 2-2
bash 5.1.016-1
bash-completion 2.11-2
bc 1.07.1-4
bind 9.18.1-1
binutils 2.38-4
bison 3.8.2-3
blas 3.10.0-1
blueman 2.2.4-1
bluez 5.64-2
bluez-libs 5.64-2
bmake 20220214-1
boost-libs 1.78.0-1
box2d 2.4.1-1
bridge-utils 1.7.1-1
broadcom-wl 6.30.223.271-377
brotli 1.0.9-7
btrfs-progs 5.16.2-1
bubblewrap 0.6.1-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.77-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2
cairomm 1.14.3-2
camset 0.0.19-2
cantarell-fonts 1:0.303.1-1
cblas 3.10.0-1
cdparanoia 10.2-8
cfitsio 1:4.1.0-1
cheese 41.1-2
chromaprint 1.5.1-3
cifs-utils 6.14-1
clonezilla 3.35.2-3
cloud-init 22.1-1
clucene 2.3.3.4-11
clutter 1.26.4-2
clutter-gst 3.0.27-3
clutter-gtk 1.8.4-3
cmake 3.23.1-1
